journal_entry_id,fiscal_year,period_number,prepared_by,entry_date
1600000081,2024,1,W128794,25/01/2024
1600000082,2024,1,W128794,25/01/2024
1600000083,2024,2,W128794,26/02/2024
1600000084,2024,2,W128794,26/02/2024
1600000085,2024,2,W128794,26/02/2024
1600000086,2024,2,W128794,26/02/2024
1600000087,2024,2,W128794,26/02/2024
1600000088,2024,2,W128794,26/02/2024
1600000089,2024,2,W128794,26/02/2024
1600000090,2024,2,W128794,26/02/2024
1600000091,2024,2,W128794,26/02/2024
1600000092,2024,2,W128794,26/02/2024
1600000093,2024,2,W128794,26/02/2024
1600000094,2024,2,W128794,26/02/2024
1600000095,2024,3,W128794,25/03/2024
1600000096,2024,3,W128794,25/03/2024
1600000097,2024,3,W128794,25/03/2024
1600000098,2024,3,W128794,25/03/2024
1600000099,2024,3,W128794,25/03/2024
1600000100,2024,3,W128794,25/03/2024
1600000101,2024,3,W128794,25/03/2024
1600000102,2024,3,W128794,25/03/2024
1600000103,2024,3,W128794,25/03/2024
1600000104,2024,4,W128794,23/04/2024
1600000105,2024,4,W128794,23/04/2024
1600000106,2024,4,W128794,23/04/2024
1600000107,2024,4,W128794,23/04/2024
1600000108,2024,4,W128794,23/04/2024
1600000109,2024,4,W128794,23/04/2024
1600000110,2024,4,W128794,23/04/2024
1600000111,2024,4,W128794,23/04/2024
1600000112,2024,4,W128794,23/04/2024
1600000113,2024,4,W128794,23/04/2024
1600000114,2024,4,W128794,23/04/2024
1600000115,2024,4,W128794,23/04/2024
1600000116,2024,4,W128794,23/04/2024
1600000117,2024,4,W128794,23/04/2024
1600000118,2024,4,W128794,23/04/2024
1600000119,2024,4,W128794,23/04/2024
1600000120,2024,4,W128794,23/04/2024
1600000121,2024,4,W128794,23/04/2024
1600000122,2024,5,W191062,27/05/2024
1600000123,2024,5,W191062,27/05/2024
1600000124,2024,5,W191062,27/05/2024
1600000125,2024,5,W191062,27/05/2024
1600000126,2024,5,W191062,27/05/2024
1600000127,2024,5,W191062,27/05/2024
1600000128,2024,5,W191062,27/05/2024
1600000129,2024,5,W191062,27/05/2024
1600000130,2024,5,W191062,27/05/2024
1600000131,2024,5,W191062,27/05/2024
1600000132,2024,5,W191062,27/05/2024
1600000133,2024,5,W191062,28/05/2024
1600000134,2024,5,W191062,28/05/2024
1600000135,2024,5,W191062,28/05/2024
1600000136,2024,5,W191062,28/05/2024
1600000137,2024,5,W191062,28/05/2024
1600000138,2024,5,W191062,28/05/2024
1600000139,2024,5,W191062,28/05/2024
1600000140,2024,6,W191062,24/06/2024
1600000141,2024,6,W191062,24/06/2024
1600000142,2024,6,W191062,24/06/2024
1600000143,2024,6,W191062,24/06/2024
1600000144,2024,6,W191062,24/06/2024
1600000145,2024,6,W191062,24/06/2024
1600000146,2024,6,W191062,24/06/2024
1600000147,2024,6,W191062,24/06/2024
1600000148,2024,6,W191062,24/06/2024
1600000149,2024,6,W191062,24/06/2024
1600000150,2024,6,W191062,24/06/2024
1600000151,2024,7,W191062,24/07/2024
1600000152,2024,7,W191062,24/07/2024
1600000153,2024,7,W191062,24/07/2024
1600000154,2024,7,W191062,24/07/2024
1600000155,2024,7,W191062,24/07/2024
1600000156,2024,7,W191062,24/07/2024
1600000157,2024,7,W191062,24/07/2024
1600000158,2024,7,W191062,24/07/2024
1600000159,2024,7,W191062,24/07/2024
1600000160,2024,7,W191062,24/07/2024
1600000161,2024,7,W191062,24/07/2024
1600000162,2024,7,W191062,24/07/2024
1600000163,2024,7,W191062,25/07/2024
1600000164,2024,7,W191062,25/07/2024
1600000165,2024,7,W191062,25/07/2024
1600000166,2024,7,W191062,25/07/2024
1600000167,2024,7,W191062,25/07/2024
1600000168,2024,7,W191062,25/07/2024
1600000169,2024,7,W191062,25/07/2024
1600000170,2024,7,W191062,25/07/2024
1600000171,2024,7,W191062,25/07/2024
1600000172,2024,7,W191062,25/07/2024
1600000173,2024,7,W191062,25/07/2024
1600000174,2024,7,W191062,25/07/2024
1600000175,2024,8,W191062,23/08/2024
1600000176,2024,8,W191062,23/08/2024
1600000177,2024,8,W191062,23/08/2024
1600000178,2024,8,W191062,23/08/2024
1600000179,2024,8,W191062,23/08/2024
1600000180,2024,8,W191062,23/08/2024
1600000181,2024,8,W191062,23/08/2024
1600000182,2024,8,W191062,23/08/2024
1600000183,2024,8,W191062,23/08/2024
1600000184,2024,8,W191062,23/08/2024
1600000185,2024,8,W191062,23/08/2024
1600000186,2024,8,W191062,23/08/2024
1600000187,2024,9,W191062,24/09/2024
1600000188,2024,9,W191062,24/09/2024
1600000189,2024,9,W191062,24/09/2024
1600000190,2024,9,W191062,24/09/2024
1600000191,2024,9,W191062,24/09/2024
1600000192,2024,9,W191062,24/09/2024
1600000193,2024,9,W191062,24/09/2024
1600000194,2024,9,W191062,24/09/2024
1600000195,2024,9,W191062,24/09/2024
1600000196,2024,9,W191062,24/09/2024
1600000197,2024,9,W191062,24/09/2024
1600000198,2024,9,W191062,24/09/2024
1600000199,2024,10,W191062,24/10/2024
1600000200,2024,10,W191062,24/10/2024
1600000201,2024,10,W191062,24/10/2024
1600000202,2024,10,W191062,24/10/2024
1600000203,2024,10,W191062,24/10/2024
1600000204,2024,10,W191062,24/10/2024
1600000205,2024,10,W191062,24/10/2024
1600000206,2024,10,W191062,24/10/2024
1600000207,2024,10,W191062,24/10/2024
1600000208,2024,10,W191062,24/10/2024
1600000209,2024,10,W191062,24/10/2024
1600000210,2024,10,W191062,24/10/2024
1600000211,2024,10,W191062,24/10/2024
1600000212,2024,11,W191062,26/11/2024
1600000213,2024,11,W191062,26/11/2024
1600000214,2024,11,W191062,26/11/2024
