journal_entry_id,posting_date,fiscal_year,prepared_by,description
100709079.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709080.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709081.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709082.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709083.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709084.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709085.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709086.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709087.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709088.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709089.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709090.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709091.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709092.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709093.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709094.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709095.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709096.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709097.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709098.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709099.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709100.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709101.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709102.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709103.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709104.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709105.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709106.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709107.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709108.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709109.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709110.0,02.03.2024,2024.0,FI_BATCH_US,
100709111.0,02.03.2024,2024.0,FI_BATCH_US,
100709112.0,02.03.2024,2024.0,FI_BATCH_US,
100709113.0,02.03.2024,2024.0,FI_BATCH_US,
100709114.0,02.03.2024,2024.0,FI_BATCH_US,
100709115.0,02.03.2024,2024.0,FI_BATCH_US,
100709116.0,02.03.2024,2024.0,FI_BATCH_US,
100709117.0,02.03.2024,2024.0,FI_BATCH_US,
100709118.0,02.03.2024,2024.0,FI_BATCH_US,
100709119.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709120.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709121.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709122.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709123.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709124.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709125.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709126.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709127.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709128.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709129.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709130.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709131.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709132.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709133.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709134.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709135.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709136.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709137.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
100709138.0,02.03.2024,2024.0,FI_BATCH_US,Import VAT
100709139.0,02.03.2024,2024.0,FI_BATCH_US,Export VAT
